PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
₹ 3.50 Lakh,Sedan,"60,000 Kms",3rd Owner,2009,18.3,Diesel,2009,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 32.50 Lakh,SUV,"20,000 Kms",1st Owner,2021,18.6,Diesel,2021,Third Party insurance,8-Speed,Automatic,5 Seats,BANGALORE
"₹ 55,000 ",Sedan,"80,000 Kms",2nd Owner,2004,14.2,Petrol,2004,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.30 Lakh,Hatchback,"40,000 Kms",1st Owner,2018,18.9,Petrol,2018,Third Party insurance,4 Speed,Automatic,5 Seats,BANGALORE
₹ 24.75 Lakh,SUV,"20,000 Kms",1st Owner,2022,14.08,Diesel,2022,Third Party insurance,6-Speed,Automatic,7 Seats,BANGALORE
₹ 4.17 Lakh,Hatchback,"67,444 Kms",1st Owner,2012,18.5,Petrol,2012,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.31 Lakh,Hatchback,"63,837 Kms",2nd Owner,2016,21.4,Petrol,2016,Comprehensive,CVT,Automatic,5 Seats,BANGALORE
₹ 4.65 Lakh,MUV,"61,000 Kms",2nd Owner,2012,14.0,Diesel,2012,Comprehensive,5 Speed,Manual,7 Seats,BANGALORE
₹ 5.44 Lakh,Hatchback,"60,777 Kms",1st Owner,2016,22.38,Petrol,2016,Third Party insurance,5-Speed,Manual,5 Seats,BANGALORE
₹ 7.04 Lakh,Hatchback,"39,248 Kms",2nd Owner,2016,21.4,Petrol,2016,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 19.75 Lakh,Sedan,"66,000 Kms",1st Owner,2014,18.12,Diesel,2014,Comprehensive,8 Speed,Automatic,5 Seats,BANGALORE
₹ 3.59 Lakh,Hatchback,"96,198 Kms",1st Owner,2015,19.4,Petrol,2015,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.20 Lakh,Sedan,"50,000 Kms",2nd Owner,2013,16.8,Petrol,2013,Third Party insurance,5 Speed AT+ Paddle Shifters,Automatic,5 Seats,BANGALORE
₹ 3.35 Lakh,Hatchback,"81,207 Kms",3rd Owner,2015,20.51,Petrol,2015,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.66 Lakh,Hatchback,"48,148 Kms",1st Owner,2021,22.38,Petrol,2021,Third Party,5-Speed,Manual,5 Seats,BANGALORE
₹ 3.50 Lakh,Hatchback,"1,20,000 Kms",1st Owner,2015,23.1,Petrol,2015,Third Party insurance,5 Speed ,Manual,5 Seats,BANGALORE
₹ 4.80 Lakh,Sedan,"90,000 Kms",3rd Owner,2018,20.65,Diesel,2018,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 8.22 Lakh,SUV,"60,000 Kms",2nd Owner,2017,18.06,Diesel,2017,Third Party insurance,5 Speed,Manual,7 Seats,BANGALORE
₹ 1.90 Lakh,Sedan,"1,20,000 Kms",4th Owner,2009,16.0,Petrol,2009,Third Party insurance,Five Speed Manual,Manual,5 Seats,BANGALORE
₹ 6 Lakh,Sedan,"70,000 Kms",3rd Owner,2008,11.7,Petrol,2008,Third Party insurance,5 Speed,Automatic,5 Seats,BANGALORE
₹ 9.95 Lakh,SUV,"30,000 Kms",1st Owner,2022,20.1,Diesel,2022,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 1.20 Lakh,Hatchback,"30,000 Kms",3rd Owner,2017,14.0,Petrol,2001,Third Party insurance,4 Speed,Manual,5 Seats,BANGALORE
₹ 5.75 Lakh,SUV,"1,20,000 Kms",2nd Owner,2013,19.01,Diesel,2013,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 37.95 Lakh,SUV,"64,389 Kms",2nd Owner,2018,17.9,Diesel,2018,Comprehensive,9 Speed,Automatic,5 Seats,BANGALORE
₹ 2.60 Lakh,Hatchback,"60,000 Kms",2nd Owner,2014,22.74,Petrol,2014,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.39 Lakh,Hatchback,"67,245 Kms",1st Owner,2015,22.38,Petrol,2015,Comprehensive,5-Speed,Manual,5 Seats,BANGALORE
₹ 10.06 Lakh,Sedan,"30,518 Kms",2nd Owner,2018,17.0,Petrol,2018,Zero Dep,6 Speed,Automatic,5 Seats,BANGALORE
₹ 39 Lakh,Sedan,"20,000 Kms",1st Owner,2022,18.9,Petrol,2022,Third Party insurance,7-Speed DCT,Automatic,5 Seats,BANGALORE
₹ 7.96 Lakh,Sedan,"1,02,407 Kms",1st Owner,2018,28.09,Diesel,2018,Third Party,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.36 Lakh,Hatchback,"53,606 Kms",1st Owner,2015,18.6,Petrol,2015,Zero Dep,5 Speed,Manual,5 Seats,BANGALORE
₹ 14 Lakh,SUV,"90,000 Kms",1st Owner,2015,17.67,Diesel,2015,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 6.15 Lakh,Hatchback,"44,253 Kms",2nd Owner,2016,21.4,Petrol,2016,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 5 Lakh,Minivans,"40,000 Kms",1st Owner,2021,20.88,CNG,2021,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.18 Lakh,Hatchback,"34,702 Kms",1st Owner,2021,19.01,Petrol,2021,Third Party,5-Speed,Manual,5 Seats,BANGALORE
₹ 4.36 Lakh,Hatchback,"42,762 Kms",1st Owner,2012,22.38,Petrol,2012,Third Party,5-Speed,Manual,5 Seats,BANGALORE
₹ 2.80 Lakh,Hatchback,"50,000 Kms",2nd Owner,2015,23.95,Petrol,2015,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.80 Lakh,MUV,"30,000 Kms",1st Owner,2022,18.2,Petrol,2022,Third Party insurance,5 Speed,Automatic,7 Seats,BANGALORE
₹ 9 Lakh,SUV,"80,000 Kms",2nd Owner,2016,16.0,Diesel,2016,Third Party insurance,6 Speed,Automatic,7 Seats,BANGALORE
₹ 13 Lakh,MUV,"20,000 Kms",1st Owner,2022,26.11,CNG,2022,Third Party insurance,5-Speed,Manual,7 Seats,BANGALORE
₹ 3 Lakh,Sedan,"50,000 Kms",2nd Owner,2014,22.1,CNG,2014,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 36.75 Lakh,Sedan,"28,000 Kms",1st Owner,2019,13.5,Petrol,2019,Comprehensive,8 Speed,Automatic,5 Seats,BANGALORE
₹ 6.70 Lakh,Sedan,"40,000 Kms",1st Owner,2020,21.21,Petrol,2020,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 9 Lakh,Hatchback,"10,000 Kms",1st Owner,2020,21.01,Petrol,2020,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6 Lakh,Hatchback,"60,000 Kms",1st Owner,2016,21.4,Petrol,2016,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 1.10 Lakh,Hatchback,"1,10,000 Kms",4th Owner,2008,18.0,Petrol,2008,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.05 Lakh,Hatchback,"57,459 Kms",1st Owner,2016,18.6,Petrol,2016,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.59 Lakh,Hatchback,"70,381 Kms",1st Owner,2017,18.9,Petrol,2017,Zero Dep,5 Speed,Manual,5 Seats,BANGALORE
₹ 2.68 Lakh,Hatchback,"90,000 Kms",3rd Owner,2012,22.07,Diesel,2012,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.80 Lakh,Sedan,"80,648 Kms",1st Owner,2020,20.65,Petrol,2020,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 8.64 Lakh,SUV,"81,853 Kms",2nd Owner,2016,13.0,Petrol,2016,Comprehensive,6 Speed,Manual,5 Seats,BANGALORE
₹ 2.40 Lakh,Hatchback,"40,000 Kms",1st Owner,2009,17.92,Petrol,2009,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 3.41 Lakh,Hatchback,"90,802 Kms",1st Owner,2012,19.4,Petrol,2012,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 2.40 Lakh,Hatchback,"40,000 Kms",1st Owner,2009,17.92,Petrol,2009,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.13 Lakh,Hatchback,"16,502 Kms",1st Owner,2021,20.3,Petrol,2021,Zero Dep,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.61 Lakh,Hatchback,"31,530 Kms",1st Owner,2021,20.89,Petrol,2021,Third Party,5 Speed,Manual,5 Seats,BANGALORE
₹ 8 Lakh,MUV,"1,20,000 Kms",2nd Owner,2017,24.52,Diesel,2017,Third Party insurance,5 Speed,Manual,7 Seats,BANGALORE
₹ 5.20 Lakh,Hatchback,"80,000 Kms",2nd Owner,2015,25.2,Diesel,2015,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6 Lakh,Sedan,"71,086 Kms",1st Owner,2014,18.0,Petrol,2014,Comprehensive,5 Speed CVT,Automatic,5 Seats,BANGALORE
₹ 3 Lakh,Hatchback,"1,10,000 Kms",2nd Owner,2011,21.1,Diesel,2011,Third Party insurance,5-Speed,Manual,5 Seats,BANGALORE
₹ 37.50 Lakh,SUV,"50,000 Kms",1st Owner,2020,10.91,Diesel,2020,Comprehensive,6 Speed,Automatic,7 Seats,BANGALORE
₹ 12.95 Lakh,Hatchback,"18,000 Kms",1st Owner,2021,20.25,Petrol,2021,Comprehensive,7 Speed,Automatic,5 Seats,BANGALORE
₹ 6.30 Lakh,Sedan,"60,000 Kms",2nd Owner,2014,17.4,Petrol,2014,Third Party insurance,5 Speed ,Manual,5 Seats,BANGALORE
₹ 4.75 Lakh,MUV,"1,20,000 Kms",3rd Owner,2016,13.58,Diesel,2016,Third Party insurance,5 Speed,Manual,10 Seats,BANGALORE
₹ 2.75 Lakh,Hatchback,"70,000 Kms",2nd Owner,2011,20.36,Petrol,2011,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 5.75 Lakh,Hatchback,"25,000 Kms",4th Owner,2016,19.0,Petrol,2016,Comprehensive,5 Speed,Automatic,5 Seats,BANGALORE
₹ 3.38 Lakh,Hatchback,"69,210 Kms",1st Owner,2012,19.4,Petrol,2012,Third Party,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.04 Lakh,Hatchback,"71,165 Kms",2nd Owner,2018,18.7,Petrol,2018,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 1.30 Crore,SUV,"10,000 Kms",1st Owner,2022,10.54,Petrol,2022,Third Party insurance,8-Speed Steptronic,Automatic,7 Seats,BANGALORE
₹ 3.27 Lakh,Sedan,"86,543 Kms",3rd Owner,2010,19.3,Diesel,2010,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.21 Lakh,Hatchback,"67,225 Kms",1st Owner,2016,21.4,Petrol,2016,Third Party,CVT,Automatic,5 Seats,BANGALORE
₹ 2.40 Lakh,Hatchback,"1,00,000 Kms",3rd Owner,2017,25.0,Diesel,2017,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.21 Lakh,Hatchback,"16,247 Kms",1st Owner,2018,18.9,Petrol,2018,Zero Dep,5 Speed,Manual,5 Seats,BANGALORE
₹ 1.40 Lakh,Sedan,"80,000 Kms",2nd Owner,2007,15.7,Petrol,2007,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.08 Lakh,Hatchback,"39,481 Kms",2nd Owner,2017,21.4,Petrol,2017,Zero Dep,CVT,Automatic,5 Seats,BANGALORE
₹ 4.43 Lakh,Hatchback,"61,227 Kms",2nd Owner,2018,25.24,Petrol,2018,Third Party,5-Speed,Manual,5 Seats,BANGALORE
₹ 1.80 Lakh,Sedan,"80,000 Kms",4th Owner,2006,17.7,Petrol,2006,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 7 Lakh,SUV,"1,12,521 Kms",1st Owner,2016,19.01,Diesel,2016,Comprehensive,6 Speed,Manual,5 Seats,BANGALORE
₹ 18 Lakh,SUV,"20,000 Kms",1st Owner,2020,17.41,Diesel,2020,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 14.50 Lakh,Sedan,"20,000 Kms",1st Owner,2021,18.3,Petrol,2021,Third Party insurance,CVT,Automatic,5 Seats,BANGALORE
