PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
388000.0,Hatchback,70000,2,2014,24.0,Diesel,2014,Third Party insurance,5,Manual,5,BANGALORE
490000.0,Hatchback,68000,2,2013,18.5,Petrol,2013,Comprehensive,5,Manual,5,BANGALORE
494000.0,SUV,23017,1,2016,25.32,Diesel,2016,Third Party,5,Manual,6,BANGALORE
525000.0,Hatchback,83000,2,2013,21.27,Diesel,2013,Comprehensive,6,Manual,5,BANGALORE
2890000.0,SUV,92000,2,2016,16.55,Diesel,2016,Comprehensive,8,Automatic,5,BANGALORE
550000.0,Hatchback,62139,1,2018,20.51,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
365000.0,Hatchback,74000,1,2013,19.2,LPG,2013,Comprehensive,5,Manual,5,BANGALORE
420000.0,Hatchback,26500,2,2016,24.04,Petrol,2016,Comprehensive,5,Automatic,5,BANGALORE
1895000.0,Sedan,81716,1,2017,27.03,Diesel,2017,Comprehensive,8,Automatic,5,BANGALORE
5990000.0,Sedan,24000,2,2018,17.0,Diesel,2018,Comprehensive,9,Automatic,5,BANGALORE
1050000.0,SUV,10000,1,2022,17.0,Petrol,2022,Third Party insurance,6,Automatic,5,BANGALORE
2075000.0,SUV,18000,1,2021,16.56,Petrol,2021,Comprehensive,0,Automatic,6,BANGALORE
394000.0,Hatchback,38197,1,2013,19.4,Petrol,2013,Third Party,5,Manual,5,BANGALORE
725000.0,Hatchback,23000,2,2017,19.56,Petrol,2017,Comprehensive,0,Automatic,5,BANGALORE
240000.0,Hatchback,50000,1,2013,20.92,Petrol,2013,Third Party insurance,5,Manual,5,BANGALORE
835000.0,SUV,10000,1,2022,19.03,Petrol,2022,Third Party insurance,5,Automatic,5,BANGALORE
695000.0,Hatchback,19000,1,2019,18.9,Petrol,2019,Third Party insurance,5,Manual,5,BANGALORE
1725000.0,SUV,14000,1,2020,16.5,Petrol,2020,Comprehensive,7,Automatic,5,BANGALORE
330000.0,Hatchback,29268,1,2014,21.1,Petrol,2014,Comprehensive,5,Manual,5,BANGALORE
990000.0,Sedan,20000,1,2019,18.19,Petrol,2019,Third Party insurance,7,Automatic,5,BANGALORE
750000.0,Sedan,30000,1,2018,17.1,Petrol,2018,Third Party insurance,6,Manual,5,BANGALORE
755000.0,Hatchback,64374,1,2018,19.0,Petrol,2018,Third Party insurance,5,Automatic,5,BANGALORE
1750000.0,SUV,30000,1,2021,17.41,Diesel,2021,Third Party insurance,6,Manual,5,BANGALORE
2083000.0,SUV,7100,1,2022,14.2,Petrol,2022,Comprehensive,6,Automatic,6,BANGALORE
271000.0,Hatchback,43679,1,2010,19.81,Petrol,2010,Comprehensive,5,Manual,5,BANGALORE
1280000.0,SUV,40000,1,2018,14.8,Petrol,2018,Third Party insurance,6,Automatic,5,BANGALORE
436000.0,Hatchback,40562,1,2012,22.54,Diesel,2012,Third Party,6,Manual,5,BANGALORE
1675000.0,SUV,26500,2,2021,18.9,Petrol,2021,Comprehensive,7,Automatic,5,BANGALORE
1250000.0,SUV,20000,1,2019,18.15,Petrol,2019,Third Party insurance,7,Automatic,5,BANGALORE
1350000.0,SUV,58600,1,2016,16.0,Diesel,2016,Third Party insurance,6,Automatic,7,BANGALORE
1250000.0,SUV,20000,1,2019,18.15,Petrol,2019,Third Party insurance,7,Automatic,5,BANGALORE
2225000.0,SUV,42050,1,2020,18.4,Petrol,2020,Comprehensive,7,Automatic,5,BANGALORE
475000.0,Hatchback,65017,1,2015,23.1,Petrol,2015,2,5,Automatic,5,BANGALORE
600000.0,Sedan,80000,2,2008,13.2,Diesel,2008,Third Party insurance,6,Automatic,5,BANGALORE
2450000.0,SUV,30000,1,2021,14.1,Petrol,2021,Third Party insurance,7,Automatic,5,BANGALORE
1625000.0,SUV,20000,1,2020,16.5,Petrol,2020,Third Party insurance,7,Automatic,5,BANGALORE
1650000.0,Sedan,36349,1,2014,17.2,Diesel,2014,Third Party insurance,6,Automatic,5,BANGALORE
249000.0,Hatchback,80000,3,2009,20.36,Petrol,2009,Third Party insurance,5,Manual,5,BANGALORE
630000.0,SUV,83394,2,2014,13.24,Petrol,2014,Third Party insurance,5,Manual,5,BANGALORE
2599000.0,SUV,30000,2,2016,14.16,Diesel,2016,Third Party insurance,7,Automatic,5,BANGALORE
249000.0,Hatchback,80000,3,2009,20.36,Petrol,2009,Third Party insurance,5,Manual,5,BANGALORE
385000.0,Hatchback,52204,1,2017,24.39,Petrol,2017,Third Party,5,Manual,5,BANGALORE
300000.0,Hatchback,110000,3,2012,17.0,Petrol,2012,Third Party insurance,5,Manual,5,BANGALORE
2975000.0,SUV,89000,1,2017,10.91,Diesel,2017,Third Party insurance,6,Automatic,7,BANGALORE
276000.0,Hatchback,29813,2,2014,22.05,Petrol,2014,Comprehensive,5,Manual,5,BANGALORE
500000.0,Hatchback,30000,1,2018,18.16,Petrol,2018,Third Party insurance,5,Manual,5,BANGALORE
730000.0,Hatchback,13345,1,2020,20.89,Petrol,2020,Comprehensive,5,Automatic,5,BANGALORE
2245000.0,SUV,17100,1,2022,18.1,Diesel,2022,Comprehensive,6,Automatic,7,BANGALORE
399000.0,Hatchback,75000,1,2014,18.9,Petrol,2014,Comprehensive,5,Manual,5,BANGALORE
312000.0,Hatchback,75523,2,2011,20.36,Petrol,2011,Comprehensive,5,Manual,5,BANGALORE
1275000.0,SUV,47000,1,2015,16.0,Diesel,2015,Comprehensive,6,Manual,7,BANGALORE
1990000.0,SUV,36500,1,2022,16.35,Diesel,2022,Comprehensive,6,Manual,5,BANGALORE
719000.0,MUV,28253,1,2020,20.0,Petrol,2020,Comprehensive,5,Manual,7,BANGALORE
1260000.0,SUV,50000,1,2016,19.67,Diesel,2016,Third Party insurance,6,Manual,5,BANGALORE
300000.0,Hatchback,90000,2,2010,20.36,Petrol,2010,Third Party insurance,5,Manual,5,BANGALORE
3981000.0,SUV,70000,2,2016,15.97,Diesel,2016,Third Party insurance,8,Automatic,5,BANGALORE
627000.0,Hatchback,52571,1,2016,18.6,Petrol,2016,Comprehensive,5,Manual,5,BANGALORE
1300000.0,Sedan,70000,2,2010,16.07,Diesel,2010,Third Party insurance,6,Automatic,5,BANGALORE
672000.0,Sedan,61993,1,2015,17.4,Petrol,2015,Comprehensive,5,Manual,5,BANGALORE
1825000.0,SUV,57000,1,2017,16.38,Diesel,2017,Comprehensive,6,Automatic,5,BANGALORE
3500000.0,SUV,80000,2,2021,14.24,Diesel,2021,Third Party insurance,6,Manual,7,BANGALORE
440000.0,Hatchback,36359,1,2013,18.5,Petrol,2013,Comprehensive,5,Manual,5,BANGALORE
1460000.0,SUV,70000,2,2019,17.0,Diesel,2019,Third Party insurance,6,Manual,5,BANGALORE
2041000.0,SUV,7500,1,2022,18.9,Petrol,2022,Comprehensive,8,Automatic,5,BANGALORE
1033000.0,Sedan,30301,1,2017,17.0,Petrol,2017,Comprehensive,6,Automatic,5,BANGALORE
275000.0,Hatchback,66000,1,2010,20.36,Petrol,2010,Comprehensive,5,Manual,5,BANGALORE
676000.0,Hatchback,56010,1,2017,18.6,Petrol,2017,Comprehensive,5,Manual,5,BANGALORE
4290000.0,SUV,47000,1,2017,17.9,Diesel,2017,Comprehensive,9,Automatic,5,BANGALORE
650000.0,SUV,60000,2,2014,19.01,Diesel,2014,Third Party insurance,6,Manual,5,BANGALORE
444000.0,Hatchback,83829,1,2014,25.2,Diesel,2014,Third Party insurance,5,Manual,5,BANGALORE
510000.0,Hatchback,10000,1,2020,22.0,Petrol,2020,Third Party insurance,5,Automatic,5,BANGALORE
925000.0,SUV,35000,2,2016,19.6,Diesel,2016,Comprehensive,6,Automatic,5,BANGALORE
1024000.0,Sedan,51116,2,2019,18.0,Petrol,2019,Comprehensive,0,Automatic,5,BANGALORE
500000.0,Sedan,80000,3,2016,21.14,Diesel,2016,Third Party insurance,5,Manual,5,BANGALORE
995000.0,Hatchback,40000,2,2017,17.21,Petrol,2017,Third Party insurance,7,Automatic,5,BANGALORE
935000.0,SUV,85565,2,2012,11.1,Petrol,2012,Comprehensive,5,Automatic,5,BANGALORE
834000.0,SUV,36916,1,2018,17.0,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
560000.0,Hatchback,90000,1,2015,20.14,Diesel,2015,Third Party insurance,5,Manual,5,BANGALORE
454000.0,Hatchback,112795,1,2012,22.38,Petrol,2012,Comprehensive,5,Manual,5,BANGALORE
3690000.0,Sedan,11000,1,2021,18.9,Petrol,2021,Comprehensive,7,Automatic,5,BANGALORE
1100000.0,MUV,120000,2,2014,11.4,Petrol,2014,Third Party insurance,5,Manual,7,BANGALORE
462000.0,Hatchback,36685,2,2016,19.4,Petrol,2016,Comprehensive,5,Manual,5,BANGALORE
900000.0,SUV,120000,2,2012,11.72,Diesel,2012,Third Party insurance,6,Automatic,7,BANGALORE
7900000.0,Sedan,4000,1,2022,13.32,Petrol,2022,Comprehensive,8,Automatic,4,BANGALORE
843000.0,Hatchback,32184,2,2019,21.4,Petrol,2019,Third Party,0,Automatic,5,BANGALORE
799000.0,Hatchback,32279,1,2018,21.1,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
576000.0,Hatchback,59698,1,2015,18.6,Petrol,2015,Comprehensive,5,Manual,5,BANGALORE
949000.0,SUV,46071,1,2018,20.37,Diesel,2018,Comprehensive,6,Manual,5,BANGALORE
795000.0,SUV,90000,1,2017,24.3,Diesel,2017,Third Party insurance,5,Manual,5,BANGALORE
1085000.0,SUV,9554,1,2019,18.27,Petrol,2019,Third Party,6,Manual,5,BANGALORE
2590000.0,SUV,14000,1,2022,14.1,Petrol,2022,Comprehensive,7,Automatic,5,BANGALORE
516000.0,SUV,74499,2,2013,20.45,Diesel,2013,Third Party,5,Manual,5,BANGALORE
777000.0,SUV,56211,2,2017,14.8,Petrol,2017,Comprehensive,6,Automatic,5,BANGALORE
753000.0,Hatchback,9001,1,2019,18.2,Petrol,2019,Comprehensive,5,Manual,5,BANGALORE
1226000.0,SUV,65457,2,2017,16.0,Diesel,2017,Third Party insurance,6,Automatic,7,BANGALORE
725000.0,Hatchback,23682,1,2017,18.7,Petrol,2017,Comprehensive,5,Manual,5,BANGALORE
1150000.0,Sedan,50000,1,2020,22.0,Diesel,2020,Third Party insurance,6,Manual,5,BANGALORE
629000.0,Hatchback,134557,2,2015,25.2,Diesel,2015,Comprehensive,5,Manual,5,BANGALORE
447000.0,Sedan,96567,2,2013,22.41,Petrol,2013,Comprehensive,5,Manual,5,BANGALORE
400000.0,Hatchback,120000,3,2015,23.1,Petrol,2015,Third Party insurance,5,Manual,5,BANGALORE
786000.0,MUV,83007,2,2014,20.77,Diesel,2014,Comprehensive,5,Manual,7,BANGALORE
745000.0,Hatchback,34000,1,2018,18.7,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
490000.0,Hatchback,81634,1,2014,18.9,Petrol,2014,Comprehensive,4,Automatic,5,BANGALORE
942000.0,Sedan,57284,2,2017,18.0,Petrol,2017,Comprehensive,0,Automatic,5,BANGALORE
675000.0,SUV,70000,2,2016,15.63,Petrol,2016,Third Party insurance,6,Automatic,5,BANGALORE
330000.0,Hatchback,70000,2,2013,19.4,Petrol,2013,Third Party insurance,5,Manual,5,BANGALORE
875000.0,Sedan,46429,2,2018,17.8,Petrol,2018,Third Party insurance,0,Automatic,5,BANGALORE
869000.0,Hatchback,17624,1,2017,21.4,Petrol,2017,Comprehensive,5,Manual,5,BANGALORE
425000.0,Sedan,100000,2,2012,20.54,Diesel,2012,Third Party insurance,5,Manual,5,BANGALORE
1070000.0,Sedan,30000,1,2019,17.4,Petrol,2019,Third Party insurance,5,Manual,5,BANGALORE
1025000.0,SUV,49690,2,2018,15.9,Petrol,2018,Third Party insurance,5,Manual,5,BANGALORE
1000000.0,SUV,110000,1,2016,16.0,Diesel,2016,Third Party insurance,6,Manual,7,BANGALORE
375000.0,Sedan,50000,1,2009,16.0,Petrol,2009,Third Party insurance,1,Manual,5,BANGALORE
375000.0,Sedan,50000,1,2009,16.0,Petrol,2009,Third Party insurance,1,Manual,5,BANGALORE
844000.0,SUV,55702,1,2018,14.8,Petrol,2018,Comprehensive,6,Automatic,5,BANGALORE
764000.0,Hatchback,45046,1,2016,21.19,Diesel,2016,Third Party insurance,6,Manual,5,BANGALORE
420000.0,Hatchback,53000,2,2014,18.5,Petrol,2014,Third Party insurance,5,Manual,5,BANGALORE
684000.0,Hatchback,94695,1,2016,27.39,Diesel,2016,Third Party insurance,5,Manual,5,BANGALORE
803000.0,Hatchback,22162,1,2019,21.4,Petrol,2019,Zero Dep,5,Manual,5,BANGALORE
320000.0,Hatchback,70000,2,2010,17.92,Petrol,2010,Third Party insurance,5,Manual,5,BANGALORE
804000.0,Sedan,115331,1,2017,26.0,Diesel,2017,Comprehensive,6,Manual,5,BANGALORE
1400000.0,Sedan,70000,2,2013,10.0,Diesel,2013,Third Party insurance,5,Automatic,5,BANGALORE
548000.0,Hatchback,42233,2,2016,22.38,Petrol,2016,Comprehensive,5,Manual,5,BANGALORE
619000.0,Hatchback,20941,1,2019,18.9,Petrol,2019,Comprehensive,5,Manual,5,BANGALORE
1000000.0,SUV,50000,2,2018,24.3,Diesel,2018,Third Party insurance,5,Manual,5,BANGALORE
865000.0,SUV,46602,1,2018,17.5,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
1000000.0,SUV,50000,2,2014,11.18,Diesel,2014,Third Party insurance,5,Automatic,7,BANGALORE
535000.0,Hatchback,104000,2,2014,25.2,Diesel,2014,Comprehensive,5,Manual,5,BANGALORE
975000.0,SUV,90000,1,2018,23.0,Diesel,2018,Comprehensive,5,Manual,5,BANGALORE
699000.0,Hatchback,50035,1,2017,21.4,Petrol,2017,Third Party insurance,5,Manual,5,BANGALORE
1150000.0,SUV,80000,1,2021,17.57,Petrol,2021,Third Party insurance,6,Manual,5,BANGALORE
625000.0,Hatchback,90000,2,2015,18.6,Petrol,2015,Comprehensive,5,Manual,5,BANGALORE
1000000.0,Sedan,90000,4,2011,14.21,Diesel,2011,Third Party insurance,5,Automatic,5,BANGALORE
600000.0,Sedan,120000,1,2011,21.43,Diesel,2011,Third Party insurance,6,Manual,5,BANGALORE
675000.0,Sedan,25170,1,2015,22.41,Petrol,2015,Third Party,5,Manual,5,BANGALORE
893000.0,Sedan,25022,1,2021,20.65,Petrol,2021,Comprehensive,5,Manual,5,BANGALORE
