price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 3 Lakh,Hatchback,"1,10,000 Kms",3rd Owner,2012.0,17 kmpl,KA53,Petrol,2012,2012,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 29.75 Lakh,SUV,"89,000 Kms",1st Owner,2017.0,10.91 kmpl,KA19,Diesel,Jul 2017,2017,Third Party insurance,6 Speed,Automatic,7 Seats,bangalore,3198 cc
₹ 2.76 Lakh,Hatchback,"29,813 Kms",2nd Owner,2014.0,22.05 kmpl,KA53,Petrol,Jul 2014,2014,Comprehensive,5 Speed,Manual,5 Seats,bangalore,796 cc
₹ 5 Lakh,Hatchback,"30,000 Kms",1st Owner,2018.0,18.16 kmpl,,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1196 cc
₹ 7.30 Lakh,Hatchback,"13,345 Kms",1st Owner,2020.0,20.89 kmpl,KA01,Petrol,Aug 2020,2020,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 22.45 Lakh,SUV,"17,100 Kms",1st Owner,2022.0,18.1 kmpl,KA53,Diesel,May 2022,2022,Comprehensive,6-speed,Automatic,7 Seats,bangalore,1498 cc
₹ 3.99 Lakh,Hatchback,"75,000 Kms",1st Owner,2014.0,18.9 kmpl,KA05,Petrol,May 2014,2014,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 3.12 Lakh,Hatchback,"75,523 Kms",2nd Owner,2011.0,20.36 kmpl,KA51,Petrol,Nov 2011,2011,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 12.75 Lakh,SUV,"47,000 Kms",1st Owner,2015.0,16 kmpl,KA01,Diesel,Sept 2015,2015,Comprehensive,6 Speed,Manual,7 Seats,bangalore,2179 cc
₹ 19.90 Lakh,SUV,"36,500 Kms",1st Owner,2022.0,16.35 kmpl,KA03,Diesel,Jul 2022,2022,Comprehensive,6-Speed,Manual,5 Seats,bangalore,1956 cc
₹ 7.19 Lakh,MUV,"28,253 Kms",1st Owner,2020.0,20 kmpl,KA01,Petrol,Nov 2020,2020,Comprehensive,5 Speed,Manual,7 Seats,bangalore,999 cc
₹ 12.60 Lakh,SUV,"50,000 Kms",1st Owner,2016.0,19.67 kmpl,KA51,Diesel,2016,2016,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1582 cc
₹ 3 Lakh,Hatchback,"90,000 Kms",2nd Owner,2010.0,20.36 kmpl,KA51,Petrol,2010,2010,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 39.81 Lakh,SUV,"70,000 Kms",2nd Owner,2016.0,15.97 kmpl,MH46,Diesel,2016,2016,Third Party insurance,8 Speed,Automatic,5 Seats,bangalore,2993 cc
₹ 6.27 Lakh,Hatchback,"52,571 Kms",1st Owner,2016.0,18.6 kmpl,KA53,Petrol,Jun 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 13 Lakh,Sedan,"70,000 Kms",2nd Owner,2010.0,16.07 kmpl,KA01,Diesel,2010,2010,Third Party insurance,6 Speed,Automatic,5 Seats,bangalore,1995 cc
₹ 6.72 Lakh,Sedan,"61,993 Kms",1st Owner,2015.0,17.4 kmpl,KA04,Petrol,Jan 2015,2015,Comprehensive,5 Speed ,Manual,5 Seats,bangalore,1497 cc
₹ 18.25 Lakh,SUV,"57,000 Kms",1st Owner,2017.0,16.38 kmpl,KA50,Diesel,Jul 2017,2017,Comprehensive,6 Speed,Automatic,5 Seats,bangalore,1995 cc
₹ 35 Lakh,SUV,"80,000 Kms",2nd Owner,2021.0,14.24 kmpl,KA03,Diesel,2021,2021,Third Party insurance,6 Speed,Manual,7 Seats,bangalore,2755 cc
₹ 4.40 Lakh,Hatchback,"36,359 Kms",1st Owner,2013.0,18.5 kmpl,KA01,Petrol,Aug 2013,2013,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 14.60 Lakh,SUV,"70,000 Kms",2nd Owner,2019.0,17 kmpl,KA53,Diesel,2019,2019,Third Party insurance,6,Manual,5 Seats,bangalore,1956 cc
₹ 20.41 Lakh,SUV,"7,500 Kms",1st Owner,2022.0,,KA01,Petrol,Oct 2022,2022,Comprehensive,8-Speed,Automatic,5 Seats,bangalore,1451 cc
₹ 10.33 Lakh,Sedan,"30,301 Kms",1st Owner,2017.0,17 kmpl,KA41,Petrol,Sept 2017,2017,Comprehensive,6 Speed,Automatic,5 Seats,bangalore,1591 cc
₹ 2.75 Lakh,Hatchback,"66,000 Kms",1st Owner,2010.0,20.36 kmpl,KA03,Petrol,Jan 2010,2010,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.76 Lakh,Hatchback,"56,010 Kms",1st Owner,2017.0,18.6 kmpl,KA41,Petrol,Oct 2017,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 42.90 Lakh,SUV,"47,000 Kms",1st Owner,2017.0,17.9 kmpl,KA03,Diesel,Jul 2017,2017,Comprehensive,9 Speed,Automatic,5 Seats,bangalore,2143 cc
₹ 6.50 Lakh,SUV,"60,000 Kms",2nd Owner,2014.0,19.01 kmpl,KA03,Diesel,2014,2014,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1461 cc
₹ 4.44 Lakh,Hatchback,"83,829 Kms",1st Owner,2014.0,25.2 kmpl,KA51,Diesel,Feb 2014,2014,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 5.10 Lakh,Hatchback,"10,000 Kms",1st Owner,2020.0,22 kmpl,KA50,Petrol,2020,2020,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,999 cc
₹ 9.25 Lakh,SUV,"35,000 Kms",2nd Owner,2016.0,19.6 kmpl,KA53,Diesel,Jul 2016,2016,Comprehensive,6 Speed,Automatic,5 Seats,bangalore,1461 cc
₹ 10.24 Lakh,Sedan,"51,116 Kms",2nd Owner,2019.0,18 kmpl,KA03,Petrol,Feb 2020,2019,Comprehensive,CVT,Automatic,5 Seats,bangalore,1497 cc
₹ 5 Lakh,Sedan,"80,000 Kms",3rd Owner,2016.0,21.14 kmpl,KA09,Diesel,2016,2016,Third Party insurance,5-speed,Manual,5 Seats,bangalore,1498 cc
₹ 9.95 Lakh,Hatchback,"40,000 Kms",2nd Owner,2017.0,17.21 kmpl,,Petrol,2017,2017,Third Party insurance,7 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 9.35 Lakh,SUV,"85,565 Kms",2nd Owner,2012.0,11.1 kmpl,KA47,Petrol,Jan 2012,2012,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,2354 cc
₹ 8.34 Lakh,SUV,"36,916 Kms",1st Owner,2018.0,17 kmpl,KA03,Petrol,Jun 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 5.60 Lakh,Hatchback,"90,000 Kms",1st Owner,2015.0,20.14 kmpl,KA04,Diesel,2015,2015,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 4.54 Lakh,Hatchback,"1,12,795 Kms",1st Owner,2012.0,22.38 kmpl,KA51,Petrol,Jun 2012,2012,Comprehensive,5-Speed,Manual,5 Seats,bangalore,1197 cc
₹ 36.90 Lakh,Sedan,"11,000 Kms",1st Owner,2021.0,,KA04,Petrol,Jul 2021,2021,Comprehensive,7-Speed DCT,Automatic,5 Seats,bangalore,1332 cc
₹ 11 Lakh,MUV,"1,20,000 Kms",2nd Owner,2014.0,11.4 kmpl,KA05,Petrol,2014,2014,Third Party insurance,5 Speed,Manual,7 Seats,bangalore,1998 cc
₹ 4.62 Lakh,Hatchback,"36,685 Kms",2nd Owner,2016.0,19.4 kmpl,KA05,Petrol,Jun 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1198 cc
₹ 9 Lakh,SUV,"1,20,000 Kms",2nd Owner,2012.0,11.72 kmpl,,Diesel,2012,2012,Third Party insurance,6 speed ,Automatic,7 Seats,bangalore,2199 cc
₹ 79 Lakh,Sedan,"4,000 Kms",1st Owner,2022.0,13.32 kmpl,KA03,Petrol,Dec 2022,2022,Comprehensive,8-Speed Steptronic Sport Automatic Transmission,Automatic,4 Seats,bangalore,1998 cc
₹ 8.43 Lakh,Hatchback,"32,184 Kms",2nd Owner,2019.0,21.4 kmpl,KA03,Petrol,Jul 2019,2019,Third Party,CVT,Automatic,5 Seats,bangalore,1197 cc
₹ 7.99 Lakh,Hatchback,"32,279 Kms",1st Owner,2018.0,21.1 kmpl,KA01,Petrol,Jan 2019,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 5.76 Lakh,Hatchback,"59,698 Kms",1st Owner,2015.0,18.6 kmpl,KA01,Petrol,Oct 2015,2015,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 9.49 Lakh,SUV,"46,071 Kms",1st Owner,2018.0,20.37 kmpl,KA42,Diesel,Nov 2018,2018,Comprehensive,6 Speed,Manual,5 Seats,bangalore,1461 cc
₹ 7.95 Lakh,SUV,"90,000 Kms",1st Owner,2017.0,24.3 kmpl,,Diesel,2017,2017,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 10.85 Lakh,SUV,"9,554 Kms",1st Owner,2019.0,18.27 kmpl,KA04,Petrol,Jul 2019,2019,Third Party,6-Speed,Manual,5 Seats,bangalore,998 cc
₹ 25.90 Lakh,SUV,"14,000 Kms",1st Owner,2022.0,14.1 kmpl,KA01,Petrol,Jul 2022,2022,Comprehensive,7 Speed DCT,Automatic,5 Seats,bangalore,1368 cc
