price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 3 Lakh,Hatchback,"50,000 Kms",1st Owner,2015,23.95,KA04,Petrol,2015,2015,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 3.77 Lakh,Hatchback,"40,082 Kms",2nd Owner,2014,20.51,KA50,Petrol,Feb 2014,2014,Third Party,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 6.38 Lakh,Sedan,"1,12,566 Kms",2nd Owner,2017,28.4,KA05,Diesel,Jul 2017,2017,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1248 cc
₹ 15.75 Lakh,SUV,"68,000 Kms",1st Owner,2020,18.9,KA17,Petrol,Aug 2020,2020,Comprehensive,7-speed DCT,Automatic,5 Seats,bangalore,1397 cc
₹ 6.74 Lakh,Hatchback,"61,978 Kms",1st Owner,2021,20.52,KA53,Petrol,Apr 2021,2021,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 6.13 Lakh,Hatchback,"27,658 Kms",1st Owner,2021,20.52,KA09,Petrol,Jan 2022,2021,Third Party,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 11.45 Lakh,SUV,"26,000 Kms",1st Owner,2019,16.8,KA51,Petrol,Nov 2019,2019,Comprehensive,6-Speed,Manual,5 Seats,bangalore,1497 cc
₹ 5.95 Lakh,Hatchback,"43,371 Kms",2nd Owner,2015,18.6,KA05,Petrol,Mar 2015,2015,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4.50 Lakh,SUV,"1,20,000 Kms",2nd Owner,2014,22.7,KA01,Diesel,2014,2014,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 5.99 Lakh,Hatchback,"67,633 Kms",1st Owner,2017,18.7,KA20,Petrol,Sept 2017,2017,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 6.25 Lakh,Hatchback,"76,794 Kms",1st Owner,2016,21.4,KA01,Petrol,Jul 2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 7.50 Lakh,MUV,"1,20,000 Kms",1st Owner,2011,12.8,KA04,Diesel,2011,2011,Third Party insurance,5 Speed,Manual,8 Seats,bangalore,2494 cc
₹ 21.65 Lakh,MUV,"59,577 Kms",1st Owner,2018,11.36,KA03,Diesel,Apr 2018,2018,Comprehensive,6 Speed,Automatic,8 Seats,bangalore,2755 cc
₹ 4.45 Lakh,Sedan,"1,00,000 Kms",2nd Owner,2010,18.3,KA41,Diesel,2010,2010,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1991 cc
₹ 1.20 Lakh,Sedan,"1,00,000 Kms",3rd Owner,2004,13.4,KA02,Petrol,2004,2004,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,2362 cc
