price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
920000,Hatchback,10000,1,2021,20.0,KA51,Petrol,2021,2021,Third Party insurance,6,Manual,5,bangalore,998
533000,Sedan,49873,1,2013,16.8,KA05,Petrol,2013,2013,Third Party,5,Manual,5,bangalore,1497
850000,Hatchback,90000,3,2013,17.2,KA03,Petrol,2013,2013,Third Party insurance,7,Automatic,5,bangalore,1197
751000,Sedan,48960,2,2017,21.13,KA52,Diesel,2017,2017,Third Party insurance,5,Manual,5,bangalore,1498
388000,Hatchback,70000,2,2014,24.0,KA04,Diesel,2014,2014,Third Party insurance,5,Manual,5,bangalore,1120
490000,Hatchback,68000,2,2013,18.5,KA51,Petrol,2013,2013,Comprehensive,5,Manual,5,bangalore,1197
494000,SUV,23017,1,2016,25.32,KA04,Diesel,2016,2016,Third Party,5,Manual,6,bangalore,1198
525000,Hatchback,83000,2,2013,21.27,KA03,Diesel,2014,2013,Comprehensive,6,Manual,5,bangalore,1396
2890000,SUV,92000,2,2016,16.55,KA51,Diesel,2016,2016,Comprehensive,8,Automatic,5,bangalore,1995
550000,Hatchback,62139,1,2018,20.51,KA53,Petrol,2018,2018,Comprehensive,5,Manual,5,bangalore,998
365000,Hatchback,74000,1,2013,19.2,KA04,LPG,2013,2013,Comprehensive,5,Manual,5,bangalore,1086
420000,Hatchback,26500,2,2016,24.04,KA53,Petrol,2016,2016,Comprehensive,5,Automatic,5,bangalore,999
1895000,Sedan,81716,1,2017,27.03,KA01,Diesel,2017,2017,Comprehensive,8,Automatic,5,bangalore,1969
5990000,Sedan,24000,2,2018,17.0,KA03,Diesel,2018,2018,Comprehensive,9,Automatic,5,bangalore,2987
1050000,SUV,10000,1,2022,17.0,KA03,Petrol,2022,2022,Third Party insurance,6,Automatic,5,bangalore,1197
2075000,SUV,18000,1,2021,16.56,KA51,Petrol,2021,2021,Comprehensive,6,Automatic,6,bangalore,1451
394000,Hatchback,38197,1,2013,19.4,KA03,Petrol,2013,2013,Third Party,5,Manual,5,bangalore,1198
725000,Hatchback,23000,2,2017,19.56,KA51,Petrol,2017,2017,Comprehensive,0,Automatic,5,bangalore,1197
240000,Hatchback,50000,1,2013,20.92,KA02,Petrol,2013,2013,Third Party insurance,5,Manual,5,bangalore,998
835000,SUV,10000,1,2022,19.03,KA53,Petrol,2022,2022,Third Party insurance,5,Automatic,5,bangalore,999
695000,Hatchback,19000,1,2019,18.9,KA04,Petrol,2019,2019,Third Party insurance,5,Manual,5,bangalore,1197
1725000,SUV,14000,1,2020,16.5,KA01,Petrol,2020,2020,Comprehensive,7,Automatic,5,bangalore,1353
330000,Hatchback,29268,1,2014,21.1,KA25,Petrol,2014,2014,Comprehensive,5,Manual,5,bangalore,814
990000,Sedan,20000,1,2019,18.19,KA01,Petrol,2019,2019,Third Party insurance,7,Automatic,5,bangalore,1197
750000,Sedan,30000,1,2018,17.1,KA03,Petrol,2018,2018,Third Party insurance,6,Manual,5,bangalore,1496
755000,Hatchback,64374,1,2018,19.0,KA05,Petrol,2018,2018,Third Party insurance,5,Automatic,5,bangalore,1199
1750000,SUV,30000,1,2021,17.41,KA27,Diesel,2021,2021,Third Party insurance,6,Manual,5,bangalore,1956
2083000,SUV,7100,1,2022,14.2,KA03,Petrol,2022,2022,Comprehensive,6,Automatic,6,bangalore,1999
271000,Hatchback,43679,1,2010,19.81,KA51,Petrol,2010,2010,Comprehensive,5,Manual,5,bangalore,1086
1280000,SUV,40000,1,2018,14.8,KA51,Petrol,2018,2018,Third Party insurance,6,Automatic,5,bangalore,1591
436000,Hatchback,40562,1,2012,22.54,KA51,Diesel,2012,2012,Third Party,6,Manual,5,bangalore,1396
1675000,SUV,26500,2,2021,18.9,KA03,Petrol,2021,2021,Comprehensive,7,Automatic,5,bangalore,1397
1250000,SUV,20000,1,2019,18.15,KA05,Petrol,2019,2019,Third Party insurance,7,Automatic,5,bangalore,998
1350000,SUV,58600,1,2016,16.0,KA05,Diesel,2016,2016,Third Party insurance,6,Automatic,7,bangalore,2179
1250000,SUV,20000,1,2019,18.15,KA05,Petrol,2019,2019,Third Party insurance,7,Automatic,5,bangalore,998
2225000,SUV,42050,1,2020,18.4,KA03,Petrol,2020,2020,Comprehensive,7,Automatic,5,bangalore,1498
475000,Hatchback,65017,1,2015,23.1,KA04,Petrol,2016,2015,2,5,Automatic,5,bangalore,998
600000,Sedan,80000,2,2008,13.2,TN09,Diesel,2008,2008,Third Party insurance,6,Automatic,5,bangalore,1995
2450000,SUV,30000,1,2021,14.1,KA20,Petrol,2021,2021,Third Party insurance,7,Automatic,5,bangalore,1368
1625000,SUV,20000,1,2020,16.5,KA03,Petrol,2020,2020,Third Party insurance,7,Automatic,5,bangalore,1353
1650000,Sedan,36349,1,2014,17.2,KA51,Diesel,2014,2014,Third Party insurance,6,Automatic,5,bangalore,1968
249000,Hatchback,80000,3,2009,20.36,KA03,Petrol,2009,2009,Third Party insurance,5,Manual,5,bangalore,1197
630000,SUV,83394,2,2014,13.24,KA01,Petrol,2014,2014,Third Party insurance,5,Manual,5,bangalore,1598
2599000,SUV,30000,2,2016,14.16,KA01,Diesel,2016,2016,Third Party insurance,7,Automatic,5,bangalore,1968
249000,Hatchback,80000,3,2009,20.36,KA03,Petrol,2009,2009,Third Party insurance,5,Manual,5,bangalore,1197
385000,Hatchback,52204,1,2017,24.39,KA13,Petrol,2017,2017,Third Party,5,Manual,5,bangalore,998
300000,Hatchback,110000,3,2012,17.0,KA53,Petrol,2012,2012,Third Party insurance,5,Manual,5,bangalore,1197
2975000,SUV,89000,1,2017,10.91,KA19,Diesel,2017,2017,Third Party insurance,6,Automatic,7,bangalore,3198
276000,Hatchback,29813,2,2014,22.05,KA53,Petrol,2014,2014,Comprehensive,5,Manual,5,bangalore,796
500000,Hatchback,30000,1,2018,18.16,KA03,Petrol,2018,2018,Third Party insurance,5,Manual,5,bangalore,1196
730000,Hatchback,13345,1,2020,20.89,KA01,Petrol,2020,2020,Comprehensive,5,Automatic,5,bangalore,1197
2245000,SUV,17100,1,2022,18.1,KA53,Diesel,2022,2022,Comprehensive,6,Automatic,7,bangalore,1498
399000,Hatchback,75000,1,2014,18.9,KA05,Petrol,2014,2014,Comprehensive,5,Manual,5,bangalore,1197
312000,Hatchback,75523,2,2011,20.36,KA51,Petrol,2011,2011,Comprehensive,5,Manual,5,bangalore,1197
1275000,SUV,47000,1,2015,16.0,KA01,Diesel,2015,2015,Comprehensive,6,Manual,7,bangalore,2179
1990000,SUV,36500,1,2022,16.35,KA03,Diesel,2022,2022,Comprehensive,6,Manual,5,bangalore,1956
719000,MUV,28253,1,2020,20.0,KA01,Petrol,2020,2020,Comprehensive,5,Manual,7,bangalore,999
1260000,SUV,50000,1,2016,19.67,KA51,Diesel,2016,2016,Third Party insurance,6,Manual,5,bangalore,1582
300000,Hatchback,90000,2,2010,20.36,KA51,Petrol,2010,2010,Third Party insurance,5,Manual,5,bangalore,1197
3981000,SUV,70000,2,2016,15.97,MH46,Diesel,2016,2016,Third Party insurance,8,Automatic,5,bangalore,2993
627000,Hatchback,52571,1,2016,18.6,KA53,Petrol,2016,2016,Comprehensive,5,Manual,5,bangalore,1197
